uf;ano;ideb
ACRE;2021;4.7
ALAGOAS;2021;4.5
AMAPÁ;2021;4.6
AMAZONAS;2021;4.8
BAHIA;2021;4.9
CEARÁ;2021;5.7
DISTRITO FEDERAL;2021;5.1
ESPÍRITO SANTO;2021;5.3
GOIÁS;2021;5.4
MARANHÃO;2021;4.8
MATO GROSSO;2021;5.2
MATO GROSSO DO SUL;2021;5.3
MINAS GERAIS;2021;5.5
PARANÁ;2021;5.7
PARAÍBA;2021;5
PARÁ;2021;4.4
PERNAMBUCO;2021;5.2
PIAUÍ;2021;5.1
RIO DE JANEIRO;2021;4.9
RIO GRANDE DO NORTE;2021;4.8
RIO GRANDE DO SUL;2021;5.3
RONDÔNIA;2021;5
RORAIMA;2021;4.7
SANTA CATARINA;2021;5.5
SERGIPE;2021;4.8
SÃO PAULO;2021;5.5
TOCANTINS;2021;5
